message,label
ВЫ ВЫИГРАЛИ! Получите свой приз 1000000 рублей! Нажмите здесь: http://fake-link.com,1
Срочно! Ваш счет заблокирован. Подтвердите данные: http://phishing.com,1
Заработок 200% годовых! Вложите деньги сейчас!,1
Бонус на депозит! Только сегодня!,1
"Проверьте свой аккаунт, мы заметили подозрительный вход: http://fake-bank.ru",1
Новый фитнес-клуб в вашем районе! Скидка 50%!,1
Продам запчасти для иномарок. Дешево! Звоните: +7-XXX-XXX-XX-XX,1
Распродажа! Все товары со скидкой 70%! Успейте купить!,1
Кредит за 5 минут! Одобрение 99%! Без справок!,1
Увеличьте свой доход в 3 раза! Секретная методика!,1
Ваш родственник в беде! Срочно переведите деньги!,1
Поздравляем! Вы выиграли iPhone 15! Для получения оплатите доставку 500 руб,1
Инвестиции в криптовалюту! Гарантия 300% прибыли!,1
Работа на дому! Доход 100000 руб в неделю!,1
Срочно! Требуется перевод денег. Комиссия 0%!,1
Почта России: Ваша посылка ожидает получения. Пройдите по ссылке: http://fake-post.ru,1
Сбербанк: Подозрительная операция. Отмените: http://sber-fake.ru,1
Госуслуги: Требуется подтверждение личности. Перейдите: http://gos-fake.ru,1
Яндекс.Деньги: Кошелек заблокирован. Разблокировать: http://ya-fake.ru,1
МТС: Баланс пополнен на 1000 руб. Активируйте: http://mts-fake.ru,1
Насосное оборудование от производителя. Каталог во вложении,1
Свежий выпуск «Вестника налоговой службы» во вложении,1
Коммерческое предложение. Прайс-лист прикреплен,1
Отчет за квартал. Файл во вложении. Срочно ознакомьтесь,1
Документы для подписи. Отсканированы и прикреплены,1
"Проверьте свой аккаунт, мы заметили подозрительный вход",1
Баланс вашего лицевого счета ниже 100 рублей,1
Ваш пароль истекает сегодня. Обновите в личном кабинете,1
Обнаружена попытка входа с нового устройства,1
Требуется верификация личности. Предоставьте документы,1
Новый фитнес-клуб в вашем районе,1
Продам запчасти для Газели. Недорого,1
Репетитор по математике. Подготовка к ЕГЭ,1
Услуги грузчиков. Быстро. Недорого,1
Продам iPhone 13. Состояние идеальное,1
Акция! Купи 2 получи 3! Только до конца недели!,1
Ваш номер выбран для участия в розыгрыше!,1
Секретная система похудения! Минус 10 кг за неделю!,1
Заработок на лайках! 50000 руб в месяц!,1
Вложите 1000 получите 10000! Проверенная схема!,1
Срочное сообщение от администрации! Прочтите немедленно!,1
Ваш аккаунт будет удален! Подтвердите данные!,1
Бесплатный вебинар! Узнайте как разбогатеть!,1
Лотерейный билет выиграл! Получите приз!,1
Перевод денег от неизвестного отправителя. Принять?,1
Привет! Как дела? Встретимся завтра в 15:00?,0
"Мама, купи хлеб по дороге домой",0
"Любимая, скучаю! Когда приедешь?",0
"Дружище, не забудь про футбол в субботу!",0
"Сын, позвони бабушке, она ждет звонка",0
"Кать, ты где? Мы уже в кафе сидим",0
"Пап, нужны деньги на учебники. Скинь пожалуйста",0
"Дорогой, забери ребенка из садика сегодня",0
Заказ №12345 подтвержден. Доставка завтра.,0
Код подтверждения: 482915,0
Ваш заказ доставлен. Получен в пункте выдачи,0
Оплата прошла успешно. Сумма: 1500 руб,0
Бронь отеля подтверждена. Номер 245,0
Ваш билет на самолет зарегистрирован. Выход 12,0
Заказ №67890 передан в доставку. Курьер приедет с 14 до 18,0
Списание с карты: 350 руб. Магнит,0
Напоминание: встреча с клиентом в 14:00,0
Завтра совещание в 10:00. Не опаздывай,0
Визит к стоматологу записан на 15 марта в 16:30,0
Не забудь про день рождения мамы 20 числа,0
Встреча перенесена на 17:00. Подтверди получение,0
Напоминание: оплатить ЖКХ до 25 числа,0
Отчет отправлен на почту. Проверьте пожалуйста,0
"Коллеги, напоминаю про дедлайн в пятницу",0
Договор подписан с обеих сторон. Оригинал вышлем,0
Зарплата зачислена на карту. Сумма согласно ведомости,0
Отпуск согласован с 15 по 30 июня,0
Командировка утверждена. Билеты забронированы,0
Проект утвержден. Приступаем к реализации,0
Собрание перенесено на среду. Время то же,0
Сбербанк: Поступление 45000 руб. Баланс: 67800 руб,0
Тинькофф: Оплата картой *1234: 1250 руб. Остаток: 8900 руб,0
Альфа-Банк: Перевод от Иванов И.И.: 5000 руб,0
ВТБ: Списание по подписке: 299 руб. Услуга: Яндекс.Плюс,0
Яндекс.Такси: Водитель прибудет через 3 минуты. Hyundai Solaris,0
Delivery Club: Заказ принят рестораном. Доставка 40-50 мин,0
Wildberries: Ваш заказ в пункте выдачи. Режим работы 9-21,0
Авито: Покупатель хочет купить ваш товар. Свяжитесь,0
Госуслуги: Штраф ГИБДД оплачен. Сумма: 500 руб,0
Код подтверждения ВКонтакте: 738291,0
Telegram код: 45821. Никому не сообщайте,0
Instagram: Новый вход с iPhone. Это были вы?,0
Сбербанк Онлайн: Код для входа: 9281. Действует 5 минут,0
Почта России: Посылка №1234567890 прибыла в ваше отделение,0
Ура! Мы сдали экзамен! Отмечаем сегодня?,0
Доктор: Результаты анализов готовы. Приходите за справкой,0
Учитель: Завтра контрольная по математике. Подготовьтесь,0
Сосед: Ваш автомобиль припаркован у моего гаража. Переставьте,0
ЖЭК: Отключение воды завтра с 10 до 16. Причина: ремонт,0
